Date,Symbol,Direction,Entry,Exit,PnL
2026-02-02,NQ,Short,20900.00,20815.16,1696.76
2026-02-03,NQ,Long,20958.84,21011.59,1054.95
2026-02-04,NQ,Short,21017.67,20934.64,1660.65
2026-02-04,NQ,Short,21054.80,20988.37,1328.64
2026-02-04,MNQ,Long,21091.93,21941.34,1698.82
2026-02-05,NQ,Long,21150.77,21234.13,1667.28
2026-02-05,NQ,Short,20987.90,20910.99,1538.21
2026-02-06,NQ,Short,21046.73,20987.31,1188.34
2026-02-06,NQ,Long,21082.86,21163.96,1622.01
2026-02-09,NQ,Long,21185.11,21259.00,1477.84
2026-02-09,MNQ,Long,21222.24,21929.12,1413.76
2026-02-10,MNQ,Long,21081.07,20831.07,-500.00
2026-02-11,NQ,Long,21139.91,21206.03,1322.34
2026-02-12,NQ,Short,21198.74,21223.74,-500.00
2026-02-12,MNQ,Long,21235.87,20985.87,-500.00
2026-02-12,NQ,Short,21273.00,21298.00,-500.00
2026-02-12,NQ,Long,21309.13,21372.39,1265.26
2026-02-13,MNQ,Short,21167.97,21417.97,-500.00
2026-02-16,NQ,Short,21270.22,21211.88,1166.83
2026-02-17,MNQ,Short,21329.05,21579.05,-500.00
2026-02-18,NQ,Short,21387.89,21305.48,1648.26
2026-02-18,MNQ,Short,21425.02,21675.02,-500.00
2026-02-19,MNQ,Long,21283.85,21850.81,1133.93
2026-02-19,MNQ,Long,21320.98,21070.98,-500.00
2026-02-20,MNQ,Short,21378.82,21628.82,-500.00
2026-02-23,NQ,Short,21481.06,21431.00,1001.27
2026-02-23,NQ,Short,21518.19,21432.61,1711.66
2026-02-24,MNQ,Long,21577.03,22326.38,1498.70
2026-02-24,MNQ,Long,21414.16,22066.44,1304.56
2026-02-24,MNQ,Short,21451.29,21701.29,-500.00
2026-02-24,MNQ,Short,21488.42,20866.10,1244.64
2026-02-25,NQ,Short,21546.25,21571.25,-500.00
2026-02-25,MNQ,Short,21583.38,20830.02,1506.72
2026-02-26,NQ,Long,21442.22,21493.95,1034.66
2026-02-26,MNQ,Long,21479.35,22311.65,1664.60
2026-02-26,MNQ,Long,21516.48,22122.90,1212.84
2026-02-26,MNQ,Long,21553.61,22305.91,1504.60
2026-02-27,NQ,Short,21612.45,21553.30,1182.99
2026-02-27,MNQ,Long,21449.58,21199.58,-500.00
2026-02-27,NQ,Long,21485.71,21543.92,1164.13
2026-03-02,NQ,Short,21587.95,21512.92,1500.68
2026-03-03,MNQ,Short,21646.79,21896.79,-500.00
2026-03-03,MNQ,Long,21683.92,22352.69,1337.55
2026-03-04,MNQ,Short,21742.75,21154.81,1175.87
2026-03-04,MNQ,Short,21579.88,21027.99,1103.78
2026-03-04,NQ,Short,21617.01,21540.52,1529.81
2026-03-04,NQ,Short,21654.14,21580.64,1470.06
2026-03-05,MNQ,Long,21711.98,22358.03,1292.11
2026-03-05,NQ,Short,21749.11,21774.11,-500.00
2026-03-05,NQ,Short,21586.24,21500.89,1707.06
2026-03-06,MNQ,Short,21645.07,21895.07,-500.00
2026-03-06,MNQ,Short,21682.20,21036.38,1291.64
2026-03-06,MNQ,Long,21719.33,21469.33,-500.00
2026-03-09,MNQ,Long,21821.58,21571.58,-500.00
2026-03-09,NQ,Short,21857.71,21882.71,-500.00
2026-03-10,MNQ,Short,21716.55,21093.99,1245.13
2026-03-10,MNQ,Short,21753.68,21159.08,1189.20
2026-03-11,NQ,Short,21812.51,21837.51,-500.00
2026-03-11,NQ,Long,21849.64,21931.11,1629.42
2026-03-11,MNQ,Long,21886.77,22679.73,1585.92
2026-03-12,NQ,Long,21745.61,21820.71,1502.09
2026-03-13,NQ,Short,21804.44,21829.44,-500.00
2026-03-16,NQ,Long,21905.69,21970.56,1297.49
2026-03-16,NQ,Long,21942.82,21996.64,1076.43
2026-03-16,MNQ,Long,21979.95,22610.15,1260.40
2026-03-16,NQ,Long,21817.08,21903.26,1723.54
2026-03-17,MNQ,Short,21875.91,21371.17,1009.49
2026-03-18,MNQ,Short,21934.75,22184.75,-500.00
2026-03-18,MNQ,Long,21971.88,22747.06,1550.35
2026-03-18,MNQ,Short,22009.01,22259.01,-500.00
2026-03-19,MNQ,Short,22066.84,21247.74,1638.21
2026-03-19,MNQ,Short,21903.97,22153.97,-500.00
2026-03-19,MNQ,Long,21941.10,22654.79,1427.39
2026-03-20,NQ,Short,21999.94,21920.02,1598.37
2026-03-20,NQ,Long,22037.07,22105.39,1366.43
2026-03-20,MNQ,Short,22074.20,21365.78,1416.84
2026-03-23,NQ,Short,21976.45,21909.64,1336.13
2026-03-24,NQ,Long,22034.28,22009.28,-500.00
2026-03-24,MNQ,Short,22071.41,21484.96,1172.90
2026-03-24,NQ,Short,22108.54,22040.79,1354.95
2026-03-24,MNQ,Short,22145.67,22395.67,-500.00
2026-03-25,NQ,Short,22204.51,22147.33,1143.66
2026-03-26,NQ,Short,22063.34,22006.61,1134.58
2026-03-26,NQ,Long,22100.47,22187.01,1730.72
2026-03-26,MNQ,Long,22137.60,22676.07,1076.94
2026-03-26,MNQ,Short,22173.73,21306.04,1735.38
2026-03-27,NQ,Short,22232.57,22166.05,1330.35
2026-03-30,NQ,Long,22134.81,22188.00,1063.89
2026-03-30,NQ,Long,22171.94,22146.94,-500.00
2026-03-30,NQ,Short,22209.07,22234.07,-500.00
2026-03-31,NQ,Short,22267.91,22206.76,1223.01
2026-03-31,NQ,Long,22305.04,22377.78,1454.74
2026-03-31,MNQ,Short,22142.17,21413.56,1457.22
2026-04-01,NQ,Long,22200.00,22270.70,1413.99
2026-04-01,NQ,Long,22237.13,22297.05,1198.48
2026-04-02,NQ,Long,22295.97,22270.97,-500.00
2026-04-03,MNQ,Short,22354.81,21746.77,1216.08
2026-04-06,MNQ,Short,22457.05,21610.58,1692.93
2026-04-06,NQ,Short,22294.18,22219.89,1485.73
2026-04-07,MNQ,Long,22353.02,22915.24,1124.44
2026-04-07,MNQ,Short,22389.15,21724.99,1328.32
2026-04-07,MNQ,Short,22426.28,21750.52,1351.52
2026-04-08,NQ,Short,22485.11,22412.47,1452.79
2026-04-09,NQ,Long,22343.95,22431.43,1749.68
2026-04-09,MNQ,Long,22381.08,23057.52,1352.88
2026-04-10,MNQ,Short,22439.91,21701.87,1476.09
2026-04-13,NQ,Short,22542.16,22482.69,1189.30
2026-04-13,MNQ,Long,22579.29,23233.66,1308.73
2026-04-13,MNQ,Long,22615.42,23268.55,1306.26
2026-04-13,MNQ,Short,22452.55,22702.55,-500.00
2026-04-14,MNQ,Short,22511.39,22761.39,-500.00
2026-04-14,NQ,Short,22548.52,22473.86,1493.25
2026-04-14,MNQ,Short,22585.65,22009.32,1152.67
2026-04-15,NQ,Long,22644.48,22729.99,1710.30
2026-04-15,NQ,Long,22481.61,22552.32,1414.19
2026-04-15,NQ,Short,22518.74,22464.19,1091.07
2026-04-15,NQ,Short,22554.87,22485.79,1381.65
2026-04-16,NQ,Short,22613.71,22531.31,1648.02
2026-04-16,MNQ,Short,22650.84,21843.13,1615.41
2026-04-16,MNQ,Short,22487.97,21896.57,1182.80
2026-04-17,MNQ,Short,22546.80,22796.80,-500.00
2026-04-17,MNQ,Short,22583.93,22833.93,-500.00
2026-04-20,NQ,Short,22686.18,22711.18,-500.00
2026-04-20,MNQ,Short,22723.31,21855.52,1735.58
2026-04-20,MNQ,Short,22759.44,22073.69,1371.50
2026-04-21,NQ,Long,22618.27,22700.88,1652.28
2026-04-21,MNQ,Long,22655.40,23161.16,1011.51
2026-04-21,NQ,Short,22692.53,22639.72,1056.12
2026-04-22,MNQ,Short,22751.37,21924.22,1654.29
2026-04-22,MNQ,Short,22788.50,22044.81,1487.38
2026-04-23,MNQ,Long,22647.33,23445.89,1597.11
2026-04-23,NQ,Short,22683.46,22616.82,1332.76
2026-04-23,NQ,Long,22720.59,22807.99,1748.07
2026-04-24,MNQ,Short,22779.43,23029.43,-500.00
2026-04-27,MNQ,Long,22881.68,23411.30,1059.23
2026-04-27,MNQ,Long,22918.81,23505.88,1174.14
2026-04-28,MNQ,Short,22777.64,21940.55,1674.18
2026-04-28,MNQ,Short,22814.77,22287.07,1055.40
2026-04-29,MNQ,Short,22873.61,22053.61,1640.00
2026-04-29,MNQ,Short,22909.74,22150.87,1517.74
2026-04-30,NQ,Short,22968.57,22895.81,1455.30
2026-04-30,NQ,Long,22805.70,22780.70,-500.00
2026-04-30,MNQ,Long,22842.83,23575.67,1465.67
2026-04-30,MNQ,Long,22879.96,23482.89,1205.86
2026-05-01,NQ,Short,22938.80,22963.80,-500.00
2026-05-01,NQ,Short,22975.93,23000.93,-500.00
2026-05-01,MNQ,Long,22813.06,23587.69,1549.27
2026-05-01,NQ,Long,22849.19,22824.19,-500.00
2026-05-04,MNQ,Long,22951.43,23504.22,1105.57
2026-05-04,MNQ,Short,22988.56,23238.56,-500.00
2026-05-04,NQ,Short,23025.69,22972.30,1067.73
2026-05-05,MNQ,Long,23084.53,23755.07,1341.09
2026-05-05,MNQ,Short,22921.66,23171.66,-500.00
2026-05-06,NQ,Short,22980.49,22896.17,1686.44
2026-05-06,MNQ,Short,23016.62,22499.61,1034.01
2026-05-06,NQ,Long,23053.75,23137.85,1682.04
2026-05-07,NQ,Short,23112.59,23058.95,1072.89
2026-05-08,MNQ,Long,22971.43,23784.06,1625.27
2026-05-08,NQ,Short,23008.56,22933.42,1502.86
2026-05-11,MNQ,Short,23110.80,22529.33,1162.95
2026-05-12,MNQ,Short,23169.64,22566.18,1206.91
2026-05-12,NQ,Short,23206.77,23132.71,1481.28
2026-05-12,MNQ,Long,23242.90,22992.90,-500.00
2026-05-13,NQ,Long,23101.73,23173.72,1439.79
2026-05-13,NQ,Short,23138.86,23068.60,1405.16
2026-05-13,NQ,Short,23175.99,23200.99,-500.00
2026-05-13,NQ,Long,23213.12,23272.25,1182.68
2026-05-14,MNQ,Long,23271.96,23969.24,1394.56
2026-05-14,MNQ,Long,23109.09,23615.01,1011.84
