Date,Symbol,Direction,Entry,Exit,PnL
2026-02-02,NQ,Short,20900.00,20925.50,-509.91
2026-02-03,MNQ,Long,20958.84,21274.33,630.97
2026-02-03,MNQ,Long,20995.97,21391.30,790.65
2026-02-03,MNQ,Long,21033.10,21378.51,690.83
2026-02-04,MNQ,Short,21091.93,20775.29,633.28
2026-02-05,NQ,Long,21150.77,21123.45,-546.36
2026-02-05,NQ,Long,20987.90,20960.47,-548.62
2026-02-05,MNQ,Short,21025.03,21278.88,-507.69
2026-02-05,NQ,Short,21061.16,21087.53,-527.35
2026-02-06,NQ,Short,21119.99,21079.93,801.28
2026-02-06,MNQ,Long,21157.12,20888.40,-537.43
2026-02-06,NQ,Long,20994.25,20967.50,-534.94
2026-02-09,NQ,Short,21096.50,21063.17,666.61
2026-02-10,MNQ,Short,21155.33,21415.08,-519.50
2026-02-11,NQ,Short,21214.17,21240.44,-525.43
2026-02-11,NQ,Long,21251.30,21295.20,877.94
2026-02-11,MNQ,Long,21287.43,21658.78,742.69
2026-02-11,MNQ,Long,21124.56,20867.34,-514.44
2026-02-12,MNQ,Long,21183.39,21601.72,836.65
2026-02-12,NQ,Short,21220.52,21245.84,-506.31
2026-02-12,NQ,Short,21257.65,21215.94,834.15
2026-02-13,NQ,Short,21316.49,21284.29,643.92
2026-02-13,MNQ,Short,21153.62,20844.67,617.89
2026-02-13,NQ,Long,21190.75,21165.41,-506.72
2026-02-16,NQ,Short,21292.00,21249.75,845.07
2026-02-17,NQ,Short,21350.83,21319.49,626.82
2026-02-17,NQ,Short,21387.96,21352.78,703.67
2026-02-18,NQ,Long,21446.80,21421.52,-505.52
2026-02-18,NQ,Short,21283.93,21310.32,-527.87
2026-02-19,NQ,Short,21342.76,21307.51,704.96
2026-02-19,NQ,Short,21379.89,21405.82,-518.53
2026-02-19,NQ,Short,21416.02,21442.64,-532.33
2026-02-20,NQ,Long,21474.86,21448.79,-521.37
2026-02-20,NQ,Short,21311.99,21272.84,783.00
2026-02-20,MNQ,Long,21349.12,21089.15,-519.95
2026-02-23,MNQ,Short,21451.36,21711.04,-519.36
2026-02-23,MNQ,Long,21488.49,21218.99,-539.00
2026-02-24,NQ,Short,21547.33,21511.91,708.33
2026-02-24,MNQ,Long,21384.46,21109.46,-550.00
2026-02-25,MNQ,Short,21442.29,21080.68,723.22
2026-02-26,NQ,Long,21501.13,21540.42,785.80
2026-02-26,MNQ,Short,21538.26,21115.22,846.08
2026-02-26,MNQ,Long,21575.39,22021.67,892.55
2026-02-26,MNQ,Short,21612.52,21873.51,-521.98
2026-02-27,NQ,Short,21471.36,21438.22,662.90
2026-03-02,NQ,Long,21573.60,21607.59,679.83
2026-03-02,NQ,Short,21610.73,21636.17,-508.73
2026-03-02,MNQ,Short,21646.86,21917.56,-541.40
2026-03-02,NQ,Long,21683.99,21657.50,-529.87
2026-03-03,MNQ,Long,21542.83,21889.05,692.43
2026-03-04,NQ,Short,21601.66,21626.77,-502.25
2026-03-05,MNQ,Short,21660.50,21912.74,-504.48
2026-03-05,NQ,Long,21697.63,21671.26,-527.49
