Date,Symbol,Direction,Entry,Exit,PnL
2026-02-02,NQ,Long,20900.00,20924.64,492.87
2026-02-02,NQ,Long,20937.13,20963.87,534.83
2026-02-02,NQ,Short,20974.26,20946.11,562.93
2026-02-02,NQ,Long,21011.39,20977.66,-674.62
2026-02-03,NQ,Long,21070.23,21032.13,-761.94
2026-02-03,MNQ,Short,21107.36,20893.24,428.25
2026-02-03,NQ,Long,20944.49,20968.59,481.94
2026-02-03,MNQ,Long,20981.62,21134.67,306.11
2026-02-04,NQ,Short,21039.45,21016.23,464.39
2026-02-04,MNQ,Short,21076.58,20805.76,541.65
2026-02-05,NQ,Long,21135.42,21165.29,597.49
2026-02-05,NQ,Short,20972.55,21006.74,-683.82
2026-02-06,NQ,Short,21031.38,21069.76,-767.53
2026-02-06,NQ,Long,21068.51,21085.97,349.15
2026-02-09,MNQ,Long,21170.76,20855.88,-629.77
2026-02-09,NQ,Long,21207.89,21177.28,-612.25
2026-02-10,NQ,Short,21265.72,21300.50,-695.63
2026-02-10,NQ,Short,21102.85,21085.37,349.69
2026-02-11,NQ,Short,21161.69,21194.02,-646.52
2026-02-12,NQ,Long,21220.52,21246.59,521.45
2026-02-12,NQ,Long,21257.65,21275.17,350.35
2026-02-12,MNQ,Long,21294.78,21510.23,430.90
2026-02-13,NQ,Long,21153.62,21178.93,506.13
2026-02-13,NQ,Long,21190.75,21157.60,-663.04
2026-02-13,MNQ,Short,21226.88,21062.33,329.11
2026-02-13,MNQ,Short,21264.01,21077.76,372.49
2026-02-16,NQ,Short,21366.26,21405.26,-780.05
2026-02-17,MNQ,Long,21425.09,21633.47,416.77
2026-02-17,NQ,Short,21262.22,21298.30,-721.65
2026-02-17,MNQ,Short,21299.35,21604.92,-611.15
2026-02-17,MNQ,Long,21336.48,21016.85,-639.25
2026-02-18,MNQ,Long,21394.32,21677.79,566.95
2026-02-18,NQ,Long,21431.45,21446.77,306.46
2026-02-19,NQ,Long,21290.28,21314.59,486.22
2026-02-19,MNQ,Short,21327.41,21056.15,542.52
2026-02-19,NQ,Long,21364.54,21327.97,-731.50
2026-02-19,NQ,Short,21401.67,21378.29,467.50
2026-02-20,MNQ,Long,21460.51,21138.54,-643.94
2026-02-20,MNQ,Long,21297.64,20935.51,-724.27
2026-02-23,NQ,Long,21398.88,21421.71,456.60
2026-02-23,NQ,Short,21436.01,21470.27,-685.16
2026-02-23,MNQ,Long,21473.14,21160.94,-624.39
2026-02-24,MNQ,Long,21531.98,21186.60,-690.75
2026-02-24,MNQ,Long,21569.11,21177.49,-783.23
2026-02-24,MNQ,Short,21406.24,21151.76,508.96
2026-02-24,NQ,Long,21443.37,21471.31,558.74
2026-02-25,MNQ,Long,21502.20,21654.11,303.82
2026-02-25,NQ,Short,21538.33,21568.53,-603.92
2026-02-26,MNQ,Short,21597.17,21324.32,545.69
2026-02-26,MNQ,Long,21434.30,21600.01,331.41
2026-02-27,MNQ,Long,21493.14,21171.39,-643.50
2026-02-27,NQ,Short,21530.27,21561.05,-615.54
2026-02-27,NQ,Long,21567.40,21534.89,-650.16
2026-02-27,MNQ,Short,21604.53,21979.82,-750.59
2026-03-02,MNQ,Short,21705.77,21506.40,398.74
2026-03-02,MNQ,Short,21542.90,21906.35,-726.90
2026-03-03,NQ,Long,21601.74,21628.46,534.41
2026-03-03,NQ,Long,21638.87,21662.90,480.56
2026-03-03,NQ,Short,21676.00,21711.81,-716.14
2026-03-04,NQ,Long,21734.83,21700.57,-685.15
2026-03-05,NQ,Long,21593.67,21621.71,560.81
2026-03-06,NQ,Short,21652.50,21685.48,-659.55
2026-03-06,MNQ,Short,21688.63,21997.53,-617.80
2026-03-06,NQ,Long,21725.76,21742.48,334.36
2026-03-06,MNQ,Long,21762.89,21414.94,-695.90
2026-03-09,MNQ,Long,21665.14,21293.31,-743.67
2026-03-09,MNQ,Long,21702.27,21397.97,-608.60
2026-03-09,NQ,Short,21739.40,21776.69,-745.70
2026-03-10,MNQ,Long,21798.24,21482.96,-630.56
2026-03-10,NQ,Short,21835.37,21869.61,-684.73
2026-03-10,MNQ,Long,21871.50,21475.99,-791.01
2026-03-10,MNQ,Short,21708.63,22077.94,-738.61
2026-03-11,NQ,Long,21767.46,21789.58,442.45
2026-03-12,NQ,Short,21826.30,21858.92,-652.35
2026-03-12,MNQ,Short,21863.43,22189.33,-651.79
2026-03-12,NQ,Long,21900.56,21867.43,-662.68
2026-03-13,NQ,Long,21759.39,21789.30,598.19
2026-03-16,MNQ,Short,21860.64,21610.59,500.10
2026-03-16,MNQ,Long,21897.77,22126.31,457.09
2026-03-16,NQ,Short,21934.90,21908.76,522.79
2026-03-16,NQ,Short,21972.03,22007.51,-709.62
2026-03-17,NQ,Short,22030.86,22063.14,-645.69
2026-03-17,NQ,Short,21867.99,21905.78,-755.90
2026-03-18,NQ,Long,21926.83,21955.68,577.00
2026-03-18,NQ,Long,21963.96,21988.61,492.97
2026-03-18,NQ,Short,22000.09,22030.74,-612.93
