Date,Symbol,Direction,Entry,Exit,PnL
2026-02-02,NQ,Long,20900.00,20875.00,-500.00
2026-02-02,MNQ,Long,20937.13,21393.62,912.99
2026-02-02,NQ,Long,20974.26,21016.07,836.17
2026-02-03,MNQ,Long,21033.10,21470.22,874.25
2026-02-03,MNQ,Long,21070.23,21572.16,1003.86
2026-02-04,NQ,Short,21129.06,21080.51,971.06
2026-02-04,NQ,Long,20966.19,21019.00,1056.26
2026-02-04,NQ,Short,21003.32,21028.32,-500.00
2026-02-04,NQ,Short,21039.45,21064.45,-500.00
2026-02-05,NQ,Long,21098.29,21073.29,-500.00
2026-02-06,MNQ,Long,21157.12,21766.99,1219.75
2026-02-09,MNQ,Long,21059.37,20809.37,-500.00
2026-02-10,MNQ,Short,21118.20,21368.20,-500.00
2026-02-10,NQ,Long,21155.33,21196.90,831.40
2026-02-10,NQ,Long,21192.46,21254.81,1247.04
2026-02-11,NQ,Short,21251.30,21276.30,-500.00
2026-02-12,MNQ,Long,21309.13,21059.13,-500.00
2026-02-12,MNQ,Long,21146.26,21650.62,1008.72
2026-02-13,NQ,Long,21205.10,21180.10,-500.00
2026-02-16,NQ,Short,21307.35,21332.35,-500.00
2026-02-17,NQ,Short,21366.18,21308.64,1150.81
2026-02-17,NQ,Short,21403.31,21355.18,962.66
2026-02-17,NQ,Long,21240.44,21299.51,1181.39
2026-02-17,MNQ,Short,21277.57,21527.57,-500.00
2026-02-18,MNQ,Long,21335.41,21944.94,1219.06
2026-02-18,NQ,Short,21372.54,21397.54,-500.00
2026-02-18,MNQ,Long,21409.67,22016.33,1213.33
2026-02-18,MNQ,Short,21446.80,20999.31,894.98
2026-02-19,NQ,Short,21305.63,21330.63,-500.00
2026-02-20,NQ,Long,21364.47,21414.83,1007.12
2026-02-20,NQ,Short,21401.60,21347.69,1078.25
2026-02-23,MNQ,Short,21502.84,20882.23,1241.22
2026-02-24,MNQ,Long,21561.68,21954.36,785.36
2026-02-24,MNQ,Short,21398.81,21002.69,792.24
2026-02-24,MNQ,Short,21435.94,21685.94,-500.00
2026-02-24,MNQ,Long,21473.07,21949.24,952.35
2026-02-25,NQ,Short,21531.90,21556.90,-500.00
2026-02-26,NQ,Short,21590.74,21528.92,1236.31
2026-02-27,MNQ,Long,21449.58,21199.58,-500.00
2026-02-27,NQ,Long,21485.71,21525.31,791.95
2026-03-02,MNQ,Long,21587.95,21985.67,795.43
2026-03-03,MNQ,Long,21646.79,21396.79,-500.00
2026-03-03,NQ,Long,21683.92,21731.27,946.99
2026-03-03,MNQ,Short,21721.05,21324.93,792.24
2026-03-03,NQ,Short,21558.18,21502.66,1110.34
2026-03-04,MNQ,Long,21617.01,22198.61,1163.20
2026-03-05,NQ,Long,21675.85,21716.68,816.55
2026-03-05,MNQ,Long,21711.98,22226.61,1029.26
2026-03-06,NQ,Long,21770.81,21745.81,-500.00
2026-03-09,NQ,Long,21673.06,21729.20,1122.86
2026-03-09,MNQ,Short,21710.19,21123.65,1173.07
2026-03-10,NQ,Long,21769.03,21818.88,996.97
2026-03-10,MNQ,Long,21806.16,21556.16,-500.00
2026-03-10,NQ,Long,21843.29,21818.29,-500.00
2026-03-11,MNQ,Long,21901.12,22291.28,780.33
2026-03-11,NQ,Long,21738.25,21799.16,1218.13
2026-03-11,MNQ,Short,21775.38,22025.38,-500.00
2026-03-11,MNQ,Long,21812.51,21562.51,-500.00
2026-03-12,MNQ,Short,21871.35,21267.21,1208.28
2026-03-12,NQ,Short,21908.48,21933.48,-500.00
2026-03-13,NQ,Long,21767.31,21808.35,820.87
2026-03-16,MNQ,Short,21869.56,21272.85,1193.43
2026-03-16,MNQ,Long,21905.69,21655.69,-500.00
2026-03-16,NQ,Long,21942.82,21990.46,952.71
2026-03-17,MNQ,Long,22001.65,21751.65,-500.00
2026-03-17,NQ,Short,21838.78,21793.38,908.04
2026-03-18,NQ,Long,21897.62,21872.62,-500.00
2026-03-19,MNQ,Short,21956.45,21483.23,946.45
2026-03-19,NQ,Short,21993.58,22018.58,-500.00
2026-03-20,MNQ,Long,22052.42,22586.16,1067.48
2026-03-20,NQ,Long,22088.55,22138.82,1005.48
2026-03-20,NQ,Short,21925.68,21866.07,1192.13
2026-03-23,MNQ,Long,22027.93,21777.93,-500.00
2026-03-24,MNQ,Short,22086.76,22336.76,-500.00
2026-03-25,MNQ,Short,22145.60,22395.60,-500.00
2026-03-26,MNQ,Short,22204.43,21765.49,877.87
2026-03-26,MNQ,Short,22041.56,22291.56,-500.00
2026-03-27,MNQ,Long,22099.40,21849.40,-500.00
2026-03-27,MNQ,Short,22136.53,21700.51,872.04
2026-03-27,MNQ,Long,22173.66,22797.78,1248.24
2026-03-27,NQ,Short,22210.79,22165.31,909.64
2026-03-30,MNQ,Short,22313.03,21843.81,938.43
2026-03-30,MNQ,Long,22150.16,22668.73,1037.14
2026-03-30,MNQ,Long,22187.29,21937.29,-500.00
2026-03-30,MNQ,Short,22224.42,22474.42,-500.00
2026-03-31,MNQ,Short,22282.26,21809.38,945.76
2026-03-31,MNQ,Long,22319.39,22800.69,962.60
2026-03-31,NQ,Short,22156.52,22108.22,965.92
2026-04-01,NQ,Short,22215.35,22240.35,-500.00
2026-04-01,MNQ,Short,22252.48,21821.53,861.90
2026-04-01,NQ,Long,22289.61,22329.24,792.50
2026-04-01,NQ,Long,22326.74,22301.74,-500.00
2026-04-02,MNQ,Long,22185.58,22635.67,900.17
2026-04-02,NQ,Short,22221.71,22164.45,1145.24
